Entity,Code,Year,gas_reserves
Africa,,1980,5.7457E+12
Africa,,1981,5.67284E+12
Africa,,1982,6.03021E+12
Africa,,1983,6.03294E+12
Africa,,1984,5.96409E+12
Africa,,1985,5.91375E+12
Africa,,1986,7.09311E+12
Africa,,1987,7.07461E+12
Africa,,1988,7.35198E+12
Africa,,1989,8.10405E+12
Africa,,1990,8.17918E+12
Africa,,1991,9.08071E+12
Africa,,1992,9.4497E+12
Africa,,1993,9.56595E+12
Africa,,1994,8.71909E+12
Africa,,1995,9.48623E+12
Africa,,1996,9.71649E+12
Africa,,1997,1.01522E+13
Africa,,1998,1.02946E+13
Africa,,1999,1.09423E+13
Africa,,2000,1.19251E+13
Africa,,2001,1.25468E+13
Africa,,2002,1.31523E+13
Africa,,2003,1.33664E+13
Africa,,2004,1.35818E+13
Africa,,2005,1.35784E+13
Africa,,2006,1.36495E+13
Africa,,2007,1.39236E+13
Africa,,2008,1.40278E+13
Africa,,2009,1.41484E+13
Africa,,2010,1.40098E+13
Africa,,2011,1.40949E+13
Africa,,2012,1.40321E+13
Africa,,2013,1.39674E+13
Africa,,2014,1.41367E+13
Africa,,2015,1.39848E+13
Africa,,2016,1.44185E+13
Africa,,2017,1.45358E+13
Africa,,2018,1.4596E+13
Africa,,2019,1.4946E+13
Africa,,2020,1.28881E+13
Africa (BP),,1980,5.7457E+12
Africa (BP),,1981,5.67284E+12
Africa (BP),,1982,6.03021E+12
Africa (BP),,1983,6.03294E+12
Africa (BP),,1984,5.96409E+12
Africa (BP),,1985,5.91375E+12
Africa (BP),,1986,7.09311E+12
Africa (BP),,1987,7.07461E+12
Africa (BP),,1988,7.35198E+12
Africa (BP),,1989,8.10405E+12
Africa (BP),,1990,8.17918E+12
Africa (BP),,1991,9.08071E+12
Africa (BP),,1992,9.4497E+12
Africa (BP),,1993,9.56595E+12
Africa (BP),,1994,8.71909E+12
Africa (BP),,1995,9.48623E+12
Africa (BP),,1996,9.71649E+12
Africa (BP),,1997,1.01522E+13
Africa (BP),,1998,1.02946E+13
Africa (BP),,1999,1.09423E+13
Africa (BP),,2000,1.19251E+13
Africa (BP),,2001,1.25468E+13
Africa (BP),,2002,1.31523E+13
Africa (BP),,2003,1.33664E+13
Africa (BP),,2004,1.35818E+13
Africa (BP),,2005,1.35784E+13
Africa (BP),,2006,1.36495E+13
Africa (BP),,2007,1.39236E+13
Africa (BP),,2008,1.40278E+13
Africa (BP),,2009,1.41484E+13
Africa (BP),,2010,1.40098E+13
Africa (BP),,2011,1.40949E+13
Africa (BP),,2012,1.40321E+13
Africa (BP),,2013,1.39674E+13
Africa (BP),,2014,1.41367E+13
Africa (BP),,2015,1.39848E+13
Africa (BP),,2016,1.44185E+13
Africa (BP),,2017,1.45358E+13
Africa (BP),,2018,1.4596E+13
Africa (BP),,2019,1.4946E+13
Africa (BP),,2020,1.28881E+13
Algeria,DZA,1980,3.58146E+12
Algeria,DZA,1981,3.54008E+12
Algeria,DZA,1982,3.47751E+12
Algeria,DZA,1983,3.39859E+12
Algeria,DZA,1984,3.31293E+12
Algeria,DZA,1985,3.22341E+12
Algeria,DZA,1986,3.13679E+12
Algeria,DZA,1987,3.04439E+12
Algeria,DZA,1988,3.11273E+12
Algeria,DZA,1989,3.12813E+12
Algeria,DZA,1990,3.17625E+12
Algeria,DZA,1991,3.49003E+12
Algeria,DZA,1992,3.51313E+12
Algeria,DZA,1993,3.56125E+12
Algeria,DZA,1994,2.85189E+12
Algeria,DZA,1995,3.55163E+12
Algeria,DZA,1996,3.56125E+12
Algeria,DZA,1997,3.92411E+12
Algeria,DZA,1998,3.92411E+12
Algeria,DZA,1999,4.3505E+12
Algeria,DZA,2000,4.35339E+12
Algeria,DZA,2001,4.35339E+12
Algeria,DZA,2002,4.35339E+12
Algeria,DZA,2003,4.37456E+12
Algeria,DZA,2004,4.37456E+12
Algeria,DZA,2005,4.33529E+12
Algeria,DZA,2006,4.33529E+12
Algeria,DZA,2007,4.3351E+12
Algeria,DZA,2008,4.3351E+12
Algeria,DZA,2009,4.3351E+12
Algeria,DZA,2010,4.3351E+12
Algeria,DZA,2011,4.3351E+12
Algeria,DZA,2012,4.33501E+12
Algeria,DZA,2013,4.33501E+12
Algeria,DZA,2014,4.3351E+12
Algeria,DZA,2015,4.3351E+12
Algeria,DZA,2016,4.3351E+12
Algeria,DZA,2017,4.3351E+12
Algeria,DZA,2018,4.3351E+12
Algeria,DZA,2019,4.3351E+12
Algeria,DZA,2020,2.2792E+12
Argentina,ARG,1980,6.24975E+11
Argentina,ARG,1981,6.318E+11
Argentina,ARG,1982,6.747E+11
Argentina,ARG,1983,6.62025E+11
Argentina,ARG,1984,6.513E+11
Argentina,ARG,1985,6.63975E+11
Argentina,ARG,1986,6.54225E+11
Argentina,ARG,1987,6.75675E+11
Argentina,ARG,1988,7.53675E+11
Argentina,ARG,1989,6.54225E+11
Argentina,ARG,1990,6.435E+11
Argentina,ARG,1991,6.26925E+11
Argentina,ARG,1992,5.27475E+11
Argentina,ARG,1993,5.04075E+11
Argentina,ARG,1994,5.21625E+11
Argentina,ARG,1995,6.03525E+11
Argentina,ARG,1996,6.2595E+11
Argentina,ARG,1997,6.669E+11
Argentina,ARG,1998,6.69825E+11
Argentina,ARG,1999,7.10775E+11
Argentina,ARG,2000,7.5855E+11
Argentina,ARG,2001,7.449E+11
Argentina,ARG,2002,6.474E+11
Argentina,ARG,2003,5.967E+11
Argentina,ARG,2004,5.2845E+11
Argentina,ARG,2005,4.28025E+11
Argentina,ARG,2006,4.3485E+11
Argentina,ARG,2007,4.2982E+11
Argentina,ARG,2008,3.87569E+11
Argentina,ARG,2009,3.68265E+11
Argentina,ARG,2010,3.48847E+11
Argentina,ARG,2011,3.23366E+11
Argentina,ARG,2012,3.06831E+11
Argentina,ARG,2013,3.19233E+11
Argentina,ARG,2014,3.23081E+11
Argentina,ARG,2015,3.40846E+11
Argentina,ARG,2016,3.2741E+11
Argentina,ARG,2017,3.45684E+11
Argentina,ARG,2018,3.60488E+11
Argentina,ARG,2019,3.85568E+11
Argentina,ARG,2020,3.85568E+11
Asia,,1980,2.78495E+13
Asia,,1981,2.853E+13
Asia,,1982,2.97023E+13
Asia,,1983,3.03011E+13
Asia,,1984,3.20503E+13
Asia,,1985,3.26237E+13
Asia,,1986,3.57376E+13
Asia,,1987,3.66407E+13
Asia,,1988,3.98635E+13
Asia,,1989,4.37939E+13
Asia,,1990,4.43379E+13
Asia,,1991,4.81476E+13
Asia,,1992,4.95645E+13
Asia,,1993,5.02075E+13
Asia,,1994,5.13715E+13
Asia,,1995,5.12706E+13
Asia,,1996,5.45528E+13
Asia,,1997,5.99864E+13
Asia,,1998,6.41405E+13
Asia,,1999,6.70518E+13
Asia,,2000,7.17855E+13
Asia,,2001,8.40772E+13
Asia,,2002,8.50016E+13
Asia,,2003,8.57216E+13
Asia,,2004,8.60888E+13
Asia,,2005,8.42692E+13
Asia,,2006,8.57069E+13
Asia,,2007,9.20592E+13
Asia,,2008,9.40543E+13
Asia,,2009,9.61543E+13
Asia,,2010,1.05537E+14
Asia,,2011,1.0643E+14
Asia,,2012,1.05486E+14
Asia,,2013,1.05092E+14
Asia,,2014,1.06636E+14
Asia,,2015,1.06582E+14
Asia,,2016,1.08496E+14
Asia,,2017,1.06732E+14
Asia,,2018,1.0788E+14
Asia,,2019,1.09193E+14
Asia,,2020,1.09024E+14
Asia Pacific (BP),,1980,3.96051E+12
Asia Pacific (BP),,1981,4.5654E+12
Asia Pacific (BP),,1982,5.0118E+12
Asia Pacific (BP),,1983,5.10708E+12
Asia Pacific (BP),,1984,5.8637E+12
Asia Pacific (BP),,1985,6.18946E+12
Asia Pacific (BP),,1986,6.79989E+12
Asia Pacific (BP),,1987,7.10408E+12
Asia Pacific (BP),,1988,7.28944E+12
Asia Pacific (BP),,1989,7.86938E+12
Asia Pacific (BP),,1990,8.25134E+12
Asia Pacific (BP),,1991,7.50983E+12
Asia Pacific (BP),,1992,7.77121E+12
Asia Pacific (BP),,1993,7.98189E+12
Asia Pacific (BP),,1994,8.28166E+12
Asia Pacific (BP),,1995,8.23397E+12
Asia Pacific (BP),,1996,7.93248E+12
Asia Pacific (BP),,1997,8.25144E+12
Asia Pacific (BP),,1998,9.08231E+12
Asia Pacific (BP),,1999,9.39021E+12
Asia Pacific (BP),,2000,9.81505E+12
Asia Pacific (BP),,2001,1.03443E+13
Asia Pacific (BP),,2002,1.03175E+13
Asia Pacific (BP),,2003,1.03925E+13
Asia Pacific (BP),,2004,1.07598E+13
Asia Pacific (BP),,2005,1.08695E+13
Asia Pacific (BP),,2006,1.11686E+13
Asia Pacific (BP),,2007,1.22358E+13
Asia Pacific (BP),,2008,1.37068E+13
Asia Pacific (BP),,2009,1.39112E+13
Asia Pacific (BP),,2010,1.35218E+13
Asia Pacific (BP),,2011,1.37634E+13
Asia Pacific (BP),,2012,1.38808E+13
Asia Pacific (BP),,2013,1.42332E+13
Asia Pacific (BP),,2014,1.40417E+13
Asia Pacific (BP),,2015,1.46541E+13
Asia Pacific (BP),,2016,1.54555E+13
Asia Pacific (BP),,2017,1.59748E+13
Asia Pacific (BP),,2018,1.60819E+13
Asia Pacific (BP),,2019,1.67849E+13
Asia Pacific (BP),,2020,1.656E+13
Australia,AUS,1980,1.41336E+11
Australia,AUS,1981,3.56382E+11
Australia,AUS,1982,4.9998E+11
Australia,AUS,1983,4.9062E+11
Australia,AUS,1984,5.3742E+11
Australia,AUS,1985,5.5302E+11
Australia,AUS,1986,7.0356E+11
Australia,AUS,1987,8.3382E+11
Australia,AUS,1988,8.0574E+11
Australia,AUS,1989,7.449E+11
Australia,AUS,1990,7.2306E+11
Australia,AUS,1991,7.41E+11
Australia,AUS,1992,7.8468E+11
Australia,AUS,1993,7.7376E+11
Australia,AUS,1994,1.00776E+12
Australia,AUS,1995,9.8592E+11
Australia,AUS,1996,1.0608E+12
Australia,AUS,1997,1.16532E+12
Australia,AUS,1998,1.55142E+12
Australia,AUS,1999,1.55142E+12
Australia,AUS,2000,1.71834E+12
Australia,AUS,2001,2.08026E+12
Australia,AUS,2002,1.97184E+12
Australia,AUS,2003,1.85766E+12
Australia,AUS,2004,1.81164E+12
Australia,AUS,2005,1.83582E+12
Australia,AUS,2006,1.85198E+12
Australia,AUS,2007,1.78828E+12
Australia,AUS,2008,2.74326E+12
Australia,AUS,2009,2.75344E+12
Australia,AUS,2010,2.85967E+12
Australia,AUS,2011,2.81482E+12
Australia,AUS,2012,2.81944E+12
Australia,AUS,2013,2.82038E+12
Australia,AUS,2014,2.38611E+12
Australia,AUS,2015,2.3896E+12
Australia,AUS,2016,2.3896E+12
Australia,AUS,2017,2.3896E+12
Australia,AUS,2018,2.3896E+12
Australia,AUS,2019,2.3896E+12
Australia,AUS,2020,2.3896E+12
Azerbaijan,AZE,1997,6.55689E+11
Azerbaijan,AZE,1998,6.55689E+11
Azerbaijan,AZE,1999,9.902E+11
Azerbaijan,AZE,2000,9.902E+11
Azerbaijan,AZE,2001,9.902E+11
Azerbaijan,AZE,2002,9.902E+11
Azerbaijan,AZE,2003,9.902E+11
Azerbaijan,AZE,2004,9.902E+11
Azerbaijan,AZE,2005,9.902E+11
Azerbaijan,AZE,2006,9.902E+11
Azerbaijan,AZE,2007,9.97966E+11
Azerbaijan,AZE,2008,1.05544E+12
Azerbaijan,AZE,2009,1.01738E+12
Azerbaijan,AZE,2010,1.02092E+12
Azerbaijan,AZE,2011,1.02092E+12
Azerbaijan,AZE,2012,1.02092E+12
Azerbaijan,AZE,2013,945809000
Azerbaijan,AZE,2014,1.33922E+12
Azerbaijan,AZE,2015,1.31874E+12
Azerbaijan,AZE,2016,1.31874E+12
Azerbaijan,AZE,2017,1.31874E+12
Azerbaijan,AZE,2018,2.09489E+12
