Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,General government final consumption expenditure (constant 2015 US$),NE.CON.GOVT.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,General government final consumption expenditure (constant 2015 US$),NE.CON.GOVT.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1201912424.5963,1061271482.2233,964186710.62667,962054314.923482,866034205.148176,950034664.235004,1000641060.52847,993463808.158525,1036417666.41793,1021328685.99738,996579106.447228,1030155477.25282,1075226264.43024,1115425902.18973,1159666467.52001,1167220349.14682,1168421076.2524,1202387045.37395,1279274299.18716,1265151391.25623,1324573421.62455,1366451252.10937,1376202214.59195,1416306300.70407,1437019962.38917,1554502405.23359
Albania,ALB,General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,143350271200,126576239400,114997086000,114742758400,103290585600,113309192900,119344941000,118488921000,123611962500,121812322700,118860477900,122865080700,128240605100,133035154900,138311660000,139212600000,139355808900,143406878500,152577104600,150892686800,157979862200,162974567500,164137550000,168920703500,171391190500,185403143200
Albania,ALB,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,181118882.72953,182867122.838317,201624987.5,208000000,201124987.5,205750000,389249987.5,251527784.722222,139619502.215707,173511335.701164,275059100.665481,330850354.108795,302481365.832559,235969734.151329,276094734.056629,355118537.291818,337331814.899172,416760684.950578,492859483.01281,622787590.652833,805106330.34189,888245754.743903,936515452.063843,1118710154.71995,1336950053.99632,1338043401.58415,1330729761.47982,1414653830.98206,1336062937.10172,1408641401.65725,1514870022.75313,1265151391.25623,1336675997.34176,1497056087.32158,1710639767.68047,1747643257.94623,1796557752.41601,2146541596.79289
Albania,ALB,General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1396000000,1372000000,1420999900,1468000000,1554000000,1568999900,1612999900,1664000000,1608999900,1646000000,3113999900,3622000100,10476000300,17709000700,26026999800,30669000700,31608970000,34616760000,41734480000,49041870000,48578480000,59871840000,69200330000,75218230000,82660750000,88709370000,91875350000,101162610000,112162890000,127084820000,138311660000,142732630000,144540900000,148850010000,159788490000,159360620000,165938300000,178299380000,184730620000,191980010000,195195999800,222209986100
Albania,ALB,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.3116515041052,8.84353390708875,8.89861279321276,9.09399523742266,9.75153050082957,9.63955140756505,9.61342983715576,9.99617333989332,9.80506206927652,9.13190329724955,19.1885468896252,22.8753325986112,21.4082882933696,14.6384098004022,14.6234019156112,13.8271152568861,9.45360226582805,10.4480085958156,10.8444061031888,11.0555755938989,9.69245349651536,10.625955499078,11.3351367908612,11.0984229894148,11.2058669623781,11.031267292825,10.5272906437808,10.4774392871051,10.3789563199331,11.109434443885,11.1573603733327,10.9741654774939,10.844815956651,11.0254938139466,11.4518682295269,11.1106353102927,11.2693152160404,11.498400987976,11.2865596118116,11.3469839128285,11.8726779650924,11.758142995696
Albania,ALB,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-11.7014301121183,-9.1479676240089,-0.221160038785683,-9.98073687585325,9.69943895835557,5.32679471587694,-0.7172654264415,4.32364600568857,-1.45587834996148,-2.42327273183174,3.36916262726889,4.37514415761906,3.73871426781034,3.96624869867385,0.651383983100203,0.102870645329517,2.90699729848147,6.39455108145319,-1.10397808663096,4.69683160284214,3.16160884713064,0.713597537235373,2.9141128888545,1.46251285296121,8.17542177000048
Algeria,DZA,General government final consumption expenditure (constant 2015 US$),NE.CON.GOVT.KD,5172653287.53502,3823265603.34817,2586326621.22295,3373469694.76155,3261020719.37296,3261020719.37296,3416307235.92548,3778642756.04572,3882167491.3933,3830405007.89424,4089216259.79435,4555076328.3905,5176222868.65689,5331509855.74958,6987901458.94365,8230195055.0023,8644293062.24114,8851341124.6251,9161915098.9139,11905313778.2014,11594739803.3955,12394777074.626,13088884007.7075,13782594889.7135,14595768435.6272,14595768435.6272,13836788700.1864,13103438318.793,13981369283.3772,12820915398.6872,13013229365.7907,14249485996.7258,15574688271.3127,15512389078.5878,16132885279.3908,16794332271.6192,17466106418.8877,17815428745.8438,18349891228.943,18808502633.5657,19373732193.3427,19393105925.7656,21274237199.6414,21997561264.5595,22151544193.8334,21730664854.2239,23077966074.7742,23470291498.0578,26310196769.451,28546563494.5079,30202264177.9236,33131883802.5514,34059576549.4076,34332053161.8028,34709705746.4834,35785706624.3989,36250920811.0466,37265946593.1727,38123063365.3658,38847401569.4825,38730859364.3294,39195629676.4738
Algeria,DZA,General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,500182002900,369699753840,250090999270,326205669480,315332148560,315332148560,330347947330,365384841570,375395411890,370390115530,395416484620,440463931110,500527172030,515543016300,675711738930,795838270620,835880461570,855901466030,885933154580,1151212609800,1121180921200,1198542426500,1265660746000,1332740768400,1411372517000,1411372517000,1337981167700,1267068109700,1351961730800,1239748884500,1258345140600,1377887913600,1506031497000,1500007328500,1560007683300,1623967872200,1688926669900,1722705222500,1774386342500,1818732862200,1873389077800,1875262466900,2057162926100,2127106465600,2141996210900,2101298282900,2231578776400,2269515615600,2544127005100,2760377800500,2920479713000,3203766245100,3293471700000,3319819473600,3356337487800,3460383949900,3505368941300,3603519271600,3686400214900,3756441819000,3745172493500,3790114563400
Algeria,DZA,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,726257600.615746,566835206.902838,389699216.139029,513694436.004942,495980798.444431,513694436.004942,536028984.626603,603032569.727168,647701666.970489,714705272.325859,804043426.30289,942728880.837031,1181309519.02689,1391392454.25868,1556151792.76198,2233612244.89796,2436390580.71953,3084564411.11218,4059382939.55975,5007882723.899,6436649893.15683,6696325061.40229,7316754496.75537,7914300304.87805,8608580647.75053,9686144675.60364,12100461859.0902,12969874157.1644,11885439964.1577,10014983242.6465,9969299559.02875,6728775736.34892,7689102193.1572,8652668500.00428,7604432750.97337,7001282048.64601,7404714878.28979,7967795862.91509,8573519956.07688,8165420682.88023,7442697163.69164,8088572168.62009,8790545908.16735,10046150268.1052,11752555488.0198,11816632390.0088,13144012245.5834,15716052554.1041,22583573335.3153,22153114908.4482,27770783480.7625,41338869092.7488,42476677930.2518,40138242675.9264,41759275990.0222,35785706624.3989,33430915242.7152,32234084867.4903,30185996167.8923,31506381039.1978,30168769049.2267,28728517655.2815
Algeria,DZA,General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,3585606400,2798522100,1923984000,2536160800,2448706800,2536160800,2646428700,2977232100,3197767900,3528571400,3969642800,4631249900,5292857300,5513392600,6505803800,8821428200,10144643100,12791071700,16099106800,19296874500,24700000300,28899999700,33600000000,37900001300,42900000800,48699998200,56900001800,62899998700,70300000300,76200001500,89300000800,124300001300,167900004400,202000007200,266600005600,333700005900,405399994400,459799986200,503599988700,543603900000,560135900000,624559100000,700447400000,777521800000,846896200000,865879100000,954867800000,1089003000000,1458510400000,1609366200000,2065757500000,3015170300000,3293471700000,3185708100000,3364920700000,3603312900000,3658783000000,3577113100000,3519500000000,3760400000000,3824700000000,3880200000000
Algeria,DZA,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,26.6654194665797,23.2812602858204,19.4710552766199,19.0048840354438,17.0481564280519,16.3792101637043,17.6334920294868,17.8896661150225,16.8141794728977,16.7880795086388,16.5322400338594,18.5678076061648,17.4575182943266,15.9786030527409,11.7800780046477,14.3567404666366,13.7429086264188,14.7080818802228,15.3971601093979,15.0642815897623,15.2000000162462,15.0992682724718,16.1849716595944,16.2173732771297,16.0313902477679,16.7181584306133,18.9983304224347,19.4315721200527,20.1144484587383,18.0014175378966,16.0669306193343,14.7187690708191,16.0179356226305,17.3241859122684,17.8746231496666,16.7637898364963,15.7743188040564,16.5383785645998,17.7919085156143,16.7872347521677,13.5839456347184,14.7750746194862,15.4871226126096,14.8033945373864,13.772647357336,11.4504222701344,11.2315770752829,11.6434969911961,13.2067139792954,16.1452865537556,17.2267562429721,20.6680857265145,20.3180344139318,19.1357736663663,19.531018716671,21.5603458354929,20.8898615357956,18.9504118842715,17.2579295270401,18.3424679838475,20.8047302516346,17.6200531298958
Algeria,DZA,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,..,-26.0869540094362,-32.3529440654604,30.4347899093426,-3.33333290538246,0,4.76189910815353,10.6060578015337,2.73973333896014,-1.33333978025993,6.75675943840703,11.392404778797,13.636358547824,3.00000581568827,31.0679647606352,17.7777778258259,5.03144827639477,2.39519947892973,3.50877872534774,29.9435068942377,-2.60870045587994,6.90000193877719,5.59999529561918,5.30000022612695,5.90000324627272,0,-5.19999847070849,-5.30000419377352,6.70000455777394,-8.30000167486989,1.50000184170361,9.4999987795876,9.30000053960849,-0.400002822782923,4.00000411064659,4.09999191572572,4.00000509936196,2.0000011369351,2.99999787108094,2.49925952639596,3.00518106512277,0.100000001185023,9.699999995238,3.40000000061251,0.700000001918085,-1.89999999966852,6.19999999810594,1.70000000005376,12.1000000005464,8.49999999868325,5.80000000257211,9.69999999791131,2.80000000116114,0.799999999999997,1.09999999971082,3.09999999935049,1.30000000148249,2.79999999839104,2.30000000147635,1.90000000045845,-0.300000001144696,1.19999999941258
American Samoa,ASM,General government final consumption expenditure (constant 2015 US$),NE.CON.GOVT.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
